,qid,url,title,desc,topic
244,267882188,https://otvet.mail.ru/question/267882188,К какой национальности относится имя Марат,К какой национальности относится имя Марат,А сейчас что-то совсем другое
245,267882195,https://otvet.mail.ru/question/267882195,"Назовите мне одну фразу, по которой вы поняли, что ваш оппонент в разговоре - дебил?","Назовите мне одну фразу, по которой вы поняли, что ваш оппонент в разговоре - дебил?",Психология и жизнь
246,267882197,https://otvet.mail.ru/question/267882197,"&#34;АТ 2035&#34; : Китай или Тайвань, всё-таки ?...","Конденсаторный микрофон &#34;АТ 2035&#34;. На коробке, по штрих-коду, - Китай, а на её тыльной стороне - Made in Taiwan - что написано и на самом микрофоне.
Но Тайвань - не Китай, и по идентификатору штрих-кодов он имеет свои начальные цифры - 471, а Китай - 690-695.
Есть и подделка этого популярного микрофона, которую штампуют в Гон Конге, но это отдельная тема. Подделку легко отличить от оригинала по нескольким приметам.",Время музыки
247,267882198,https://otvet.mail.ru/question/267882198,Знайте мoд на террарию на нпс?,"Типо чтобы нпс не реагировали на большое количество нпс неподалеку
У меня модпак нпс много)",А сейчас что-то совсем другое
248,267882200,https://otvet.mail.ru/question/267882200,"Кс 2, проблемы с фпс","Пк rtx 5060 r7 5700x 16gb 3200mgz 16-20-20
Высокие настройки (не ультра) на дасте, в среднем, 150 фпс win11 майнеров нет",А сейчас что-то совсем другое
249,267882208,https://otvet.mail.ru/question/267882208,"Какая лучше , с карманами или без ?","Какая лучше , с карманами или без ?",А сейчас что-то совсем другое
250,267882215,https://otvet.mail.ru/question/267882215,Какой рост был у известных моделей 13? лет?,"и возможно ли ещё вырасти после 13 лет девочке, с хорошими потенциальными генами, хорошим сном, весением на турнике НО плохим питанием 700к",Биология
251,267882225,https://otvet.mail.ru/question/267882225,Если risen7 не ответит на этот пост в течении часа то она должна пойти на свидание с Mr big balls,Если risen7 не ответит на этот пост в течении часа то она должна пойти на свидание с Mr big balls,Бабочки в животе
252,267882232,https://otvet.mail.ru/question/267882232,Влият ли питание на рост 13 девочки?,Вообще питание  влияет на рост на  сколько %?,Едариум
253,267882236,https://otvet.mail.ru/question/267882236,Не играйте в Block Blast играйте в Metro,Не играйте в Block Blast играйте в Metro,А сейчас что-то совсем другое
254,267882244,https://otvet.mail.ru/question/267882244,Что вы думаете о том что все современные смартфоны планшеты смарт часы очень быстро разряжаютися теряют заряд батреи?,Что вы думаете о том что все современные смартфоны планшеты смарт часы очень быстро разряжаютися теряют заряд батреи?,Смартфоны
255,267882251,https://otvet.mail.ru/question/267882251,ВОПРОС К ПАРНЯМ ПРО ЕДУ,Сколько раз в день и что вы едите? Особенно вопрос к крупным парням роста выше среднего,А сейчас что-то совсем другое
256,267882254,https://otvet.mail.ru/question/267882254,Помогите вспомнить аниме ,"Вышло аниме про попаданцев. Там в другой мир призвали весь класс, но главного гг Рыжая Бг, сочла слабым и выгнала ",Аниме и манга
257,267882258,https://otvet.mail.ru/question/267882258,Если женщина  наденет страпон и тр@хнет мужчину или женщину она получит оргазм? ,Нет. Зачем тогда это надо? Чисто ублажить партнера. Ах Y eNo,Пикантно о любви
258,267882259,https://otvet.mail.ru/question/267882259,Сможет ли эта война остановить развитие технологий? ,Сможет ли эта война остановить развитие технологий? ,Все про бизнес
259,267882261,https://otvet.mail.ru/question/267882261,Проблема с мышкой,"мышь mchoose ax5 работает только по кабелю. Как только пытаюсь подключить по донглу мышка перестает работать.
кто знает что делать?",Электроника и электротехника
260,267882264,https://otvet.mail.ru/question/267882264, Виртуальный номеп для тг,"Где я могу ща купить вирт номер не дорогой то?фанпей закрыли с вкладкой номеров,че делать то
Срочн,тсо
X2 дублирую свой тейк",А сейчас что-то совсем другое
261,267882266,https://otvet.mail.ru/question/267882266,"Автозвук, помогите пожалуйста ","Захотел подключить 4 динамика в машину, но на усилителе работает только 1/2 канал, 3/4 канал не работает, провода подключены правильно, динамики подключены, но работает только 1/2 канал, магнитола aura 879dsp, усилитель amp mass 4.190, запас мощности есть, может что то надо сделать в настройках магнитолы или в усилителе?",Ремонт и обслуживание авто
262,267882272,https://otvet.mail.ru/question/267882272,Звук не знает &#34;сделаешь наспех сделаешь насмех&#34;,что делать у меня сначало видео застывает НО звук идёт и потом видео отстаёт жоск от звука.знаю можно перемотать чуть назад и всё кайфуй но мне лень это делать так что скажите пж как исправить🫨🫨🫨,"Фото, видео, дизайн"
263,267882275,https://otvet.mail.ru/question/267882275,Наклейка такси,"Приветствую господа. Кто знает в Яндекс такси есть метка пропуск в аэропорт. Хочу отклеить, кто отклеивал. Подскажите кто как отклеивал",А сейчас что-то совсем другое
264,267882277,https://otvet.mail.ru/question/267882277,"В России сдали сегодня 2 новых речных трамвайчика,  рядовая новость Великой страны?+",Судостроительный завод «Эмпериум» (г. Санкт-Петербург) сдал два пассажирских электросудна проекта «ТФРП.401» («Экобас»). Суда «Рудневка» и «Самородинка» пополнили флот Москвы. Теперь в нем 31 электросудно.,Политические дебаты
265,267882282,https://otvet.mail.ru/question/267882282,Украинский беспилотник попытался ударить по Курской АЭС-2,"1 Чего хотела добится 404 атакой на Ядерный обьект , находящийся рядом с еврозоной ..
Тут ..здравый смысл не работает !
Либо Фейк , либо это действуют ДРГ фашисткие ! Им не важен исход войны в долгосрочке ! им надо сделать что то быстро -нанести ущерб не думая о последствия совсем !!",Политические дебаты
266,267882287,https://otvet.mail.ru/question/267882287,Как опубликовать карту или аддон в майнкрафт marketplace bedrock,Как опубликовать карту или аддон в майнкрафт marketplace bedrock,Minecraft
267,267882291,https://otvet.mail.ru/question/267882291,Быть ментально нестабильным прикольно или нет,Быть ментально нестабильным прикольно или нет,А сейчас что-то совсем другое
268,267882298,https://otvet.mail.ru/question/267882298,Мультиплеер в РимВорлд,Как поиграть с другом в римворлд. Все доступные варианта,Время игр
269,267882311,https://otvet.mail.ru/question/267882311, у меня повышенное либидо, у меня повышенное либидо,Пикантно о любви
270,267882315,https://otvet.mail.ru/question/267882315,Увольняться или нет?,"Вообщем , мне 21, скоро будет 22, работаю на одной работе уже 4 года, и чувствую что выгорел от нее безумно, хотя с другой стороны работа мне частично нравилась , отличное отношение с руководством и по зп все нормально, график 3/3, но не успею будто бы жить, первые два дня отдыха тупо отхожу от работы и только на следующий день могу выйти куда то погулять с друзьями и то не всегда т.к не совпадают выходные . В последнее время очень стал беспокоиться тем как быстро проходит жизнь и я понимаю что еще молодой, но в тоже время эти 4 года прошли моментально из-за рутины и прочего.. Очень сильное появилось желание уволиться и поискать себя в чем то другом . Отдохнуть погулять побольше с друзьями , еще некоторые из них обижались когда отвечал часто что работаю и как то самому обидно было столько упускать возможности встретиться с старыми знакомыми и. Тп. Да и в целом в последнее время не успею ничего , будто апатия началась .
Не знаю что делать увольняться или оставаться все таки и продолжать рабоать на этом месте, но ведь так может и вся жизнь пройти на одном месте и от этого будет максимально грустно.
Что делать?",Отпуск мечты
271,267882321,https://otvet.mail.ru/question/267882321, хочу целаваца ласкаца , хочу целаваца ласкаца ,А сейчас что-то совсем другое
272,267882329,https://otvet.mail.ru/question/267882329,Съедобны ли грибы? И как снять гильзу?,Съедобны ли грибы? И как снять гильзу?,Оружие и война
273,267882342,https://otvet.mail.ru/question/267882342,В people playground после удаления сейвов остаются пустые папки.,"Версия официальная, стимовская.
Когда удаляю сохранённые постройки в игре, то в папке contraption остаются пустые папки из под сохранений. Можно ли что то сделать, чтоб удалялось не содержимое папок, а сами папки?",Время игр
274,267882343,https://otvet.mail.ru/question/267882343, леееее я щас подъеду адрес говори , леееее я щас подъеду адрес говори ,А сейчас что-то совсем другое
275,267882348,https://otvet.mail.ru/question/267882348,Что лучше взять?,Что лучше взять пк или айфон 15? Не могу решиться,Смартфоны
276,267882353,https://otvet.mail.ru/question/267882353, помогите я преследую человека ,я киллерубица хехх,А сейчас что-то совсем другое
277,267882355,https://otvet.mail.ru/question/267882355,А это самка или самец? А то если два самца то это грустно((,А это самка или самец? А то если два самца то это грустно((,А сейчас что-то совсем другое
278,267882358,https://otvet.mail.ru/question/267882358,"Могут ли меня взять в академию по большому футболу,если я занимаюсь мини-футболом и буду ездить на соревнования по нему?","Могут ли меня взять в академию по большому футболу,если я занимаюсь мини-футболом и буду ездить на соревнования по нему?",Трушный спорт
279,267882361,https://otvet.mail.ru/question/267882361, я тупой далабеб пук пук🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭😜😜😜😜😜😜😜😜, я тупой далабеб пук пук🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭😜😜😜😜😜😜😜😜,А сейчас что-то совсем другое
280,267882364,https://otvet.mail.ru/question/267882364, чд есл насвинячила в кв а убираться неохото , чд есл насвинячила в кв а убираться неохото ,А сейчас что-то совсем другое
281,267882369,https://otvet.mail.ru/question/267882369,ПАРНИ ВОПРОС ПРО ЕДУУУ,Сколько раз в день и что вы едите? Особенно вопрос к крупным парням роста выше среднего,А сейчас что-то совсем другое
282,267882379,https://otvet.mail.ru/question/267882379,Норм сделал подставку для кофе? 16 шурупов по 1р и 4уголка по25р. В магазе 23т руб. Доска с мусорки,Правда короче на 8см,Очумелые ручки
283,267882380,https://otvet.mail.ru/question/267882380,"Оцените по 10-бальной шкале ее внешность,только обьективно!","Оцените по 10-бальной шкале ее внешность,только обьективно!",Пояснительная бригада
284,267882386,https://otvet.mail.ru/question/267882386,Что ты уверенно можешь ответить любимой женщине,"да или нет? На самый главный вопрос,..",А сейчас что-то совсем другое
285,267882388,https://otvet.mail.ru/question/267882388,"Вчера расстались с женой Элеонорой. Решил взять собаку, кличку пока не придумал, может поможете?","Вчера расстались с женой Элеонорой. Решил взять собаку, кличку пока не придумал, может поможете?",Лапки и хвосты
286,267882397,https://otvet.mail.ru/question/267882397,А трусняк?,А трусняк может считаться языковым барьером ?,Пикантно о любви
287,267882400,https://otvet.mail.ru/question/267882400,Женщины не любят наполеона  &lt;=&gt; Наполеон не любит женщин😎👌,Женщины не любят наполеона  &lt;=&gt; Наполеон не любит женщин😎👌,А сейчас что-то совсем другое
288,267882406,https://otvet.mail.ru/question/267882406,Ответьте кто разбирается,запустится ли майнер если его скачать НО не открывать?,Проблемы с ПК и интернетом
289,267882411,https://otvet.mail.ru/question/267882411,Упали частоты видеокарты в играх и в бенчмарке,"Чуть меньше месяца назад купил себе GTX 1660 Super, все было хорошо, в фурмарке было в среднем ±76 фпс, однако, сегодня зашел в тот же фурмарк, и обнаружил что фпс теперь 46
Частоты упали до 1620МГц, хотя норма для видюхи раньше была 1875МГц, я ее не гнал, не андервольтил, просто появилась такая проблема, не знаю что делать
Характеристики пк:
AMD ryzen 5 4600g
GTX 1660 Super
HyperX ddr4 
Если что, это не из за перегрева, обдув в корпусе у меня нормальный и в среднем видюха греется примерно 72-75 градусов, сейчас температура даже почему то выше, но не сильно 75-78 градусов",Собираем компьютеры
290,267882416,https://otvet.mail.ru/question/267882416,Куда можно поступить в пензе,Сейчас я учусь в 9 классе и вообще не знаю куда поступать. Покидайте варианты кому не сложно куда можно будет поступить со средними оценками после 11 класса и какие предметы для этого надо сдавать.,А сейчас что-то совсем другое
291,267882419,https://otvet.mail.ru/question/267882419,Вам нравятся девушки которые глотают сперму,Я могу ,Пикантно о любви
292,267882427,https://otvet.mail.ru/question/267882427,"Почему ракеты и бомбы хлопают, а телефоны взрываются ?","Почему ракеты и бомбы хлопают, а телефоны взрываются ?",Философский вопрос
293,267882434,https://otvet.mail.ru/question/267882434,Как включить клавиатуру в winlaror,"Я подключил к телефону свою клавиатуру по блютузу, зашёл в winlator и он ее не видит. Зашёл в хром на телефоне - работает
Что надо сделать, чтоб winlator ее увидел?",Время игр
294,267882440,https://otvet.mail.ru/question/267882440,Гаснет монитор на 1-3 сек,"помогите пожалуйста кто шарит в пк
такая ситуация монитор перестает работать в рандомный момент на 1-3 секунды (просто черный экран) и потом снова работает с чем связанна проблема без понятия думал дело в проводе от пк к монику купил новый проблема никуда не ушла не знаю что делать
если у кого то была похожая проблема дайте знать что делать",Электроника и электротехника
295,267882443,https://otvet.mail.ru/question/267882443,С помощью шаблона y=x² постройте график функции: ,"1)С помощью шаблона y=x² постройте график функции: y=-x+3
2)Используя шаблон параболы y=x², постройте график функции: y==x²+2",А сейчас что-то совсем другое
296,267882445,https://otvet.mail.ru/question/267882445,ВЫ ТУПЫЕ И ЖИРНЫЕ,ВЫ ТУПЫЕ И ЖИРНЫЕ,А сейчас что-то совсем другое
297,267882462,https://otvet.mail.ru/question/267882462,Пришла мышка без радиоканала и без 8 к гц частоты опроса ,"На сайте днс я заказал мышку с частотой опроса 1000гц,8000гц а мог поставить только 1000 пришла без радиоканала когда снимал наклейку чтобы посмотреть радиоканал я ее случайно поцарапал могу ли я ее вернуть ? ",А сейчас что-то совсем другое
298,267882466,https://otvet.mail.ru/question/267882466,"Греется ПК когда запущена какая либо игра, что делать?","Я недавно обратил внимание что корпус системника сильно разогревается. Прямо горячий становится. Купил новый корпус, с четырьмя курпусными куллерами, было два. Но он всё равно греется, я прямо ощущаю горячий воздух. 
Если верить оверлею NVIDIA, то нагревается именно видеокарта, до 80-85 градусов. Выше не поднимается! Когда закрываешь игру, темпиратура тут же падает. Видеокарта: RTX 3060, с двумя вентиляторами. 
Так вот, как её остужать? Или это нормально для неё, всмысле она сама по себе такая горячая? Я просто относительно недавно её купил, этой весной. До неё была 1050Ti и она вроде так сильно не грелась.",Время игр
299,267882474,https://otvet.mail.ru/question/267882474,Как решить задачу?,Как решить задачу?,А сейчас что-то совсем другое
300,267882481,https://otvet.mail.ru/question/267882481,Вопрос с процессором ryzen и поддержкой pci-e 4.0,"Я вот до сих пор не понимаю, что именно важно для полной и нормальной работы pcie 4? У меня есть материнка b550+ryzen 5800x и видеокарта 3080, каждый раз когда пытаюсь запускать видеокарту в слоте x16 в режиме pci 4, то либо не загружается в систему либо дикие тормоза и лаги на столе, но в режиме pci 3 все работает нормально. Может быть виноват m.2 ssd samsung в слоте x8? Материнка исправная и работает всё что есть, как и карта. Я кстати читал, что у людей в основном это проблема вызывалась самим процессором и лишь смена его на условный 5800x3d полностью решала проблему, но это получается обман от amd и на самом деле проц не тянет этот режим. Я кстати тоже склоняюсь к этому, но менять его на другой не хочу, тем более я специально искал лучший образец для разгона памяти.",Проблемы с ПК и интернетом
301,267882483,https://otvet.mail.ru/question/267882483,Я умный зомби или так себе?,"завтра иду в мечеть,аллабирса,надоело с вами жить","Бог, вера, религия"
302,267882488,https://otvet.mail.ru/question/267882488,Не исправность блока питания,"Доброго времени суток! 
Столкнулся с такой проблемой, пк не подает признаком жизни по нажатии на кнопку, но при подключении другого бп (тестового) все включается и работает.
Кроме того, отдельно от системы бп стартует и даже напряжение на 5v, 12v, 3v в пределах допустимого
Так же с заведомо рабочим бп подсветка материнки (ASUS prime b450-plus) горит нормально, а с «неисправным» моргает
Система:
R5 2600
16gb от VIPER
ASUS prime b450-plus
Бп 1stplayer black sir 500w PS-500BS 80+ standard («неисправный»)",Собираем компьютеры
303,267882494,https://otvet.mail.ru/question/267882494,Пугачева ищет молодого мужа ,Внимание конкурс Пугачева наконец-то рассказала правду ,А сейчас что-то совсем другое
304,267882501,https://otvet.mail.ru/question/267882501,Помогите пожалуйста найти игру на андроид.,Играешь за маленького мага и тебя пытаются убить какие-то штуки играл лет 5-6 назад. Помогите пожалуйста,Время игр
305,267882507,https://otvet.mail.ru/question/267882507,Вы любите чешскую песню &#34;Йожын с бажын&#34;? ,Вы любите чешскую песню &#34;Йожын с бажын&#34;? ,Подслушано
306,267882510,https://otvet.mail.ru/question/267882510,Вы хотели бы бесконечное количество денег?,Вы хотели бы бесконечное количество денег?,Психология и жизнь
307,267882516,https://otvet.mail.ru/question/267882516,ПОМОГИТЕ НАЙТИ МЕМ🙏,"Господа, никак не могу найти относительно недавно захайпившуюся песню-мем из тик-тока (china social credit song meme), но не тот, что выдает поиск (см. фото). В самих видео показывались такие картинки и на фоне какие-нибудь приколы (напрмер коты). Заранее благодарен.",Время музыки
308,267882520,https://otvet.mail.ru/question/267882520,Почему спать 🫩 нужно ложиться до 11 ,Почему спать 🫩 нужно ложиться до 11 ,Здоровый сон
309,267882522,https://otvet.mail.ru/question/267882522, помогите конец света фнаф вирусы играть аллах, помогите конец света фнаф вирусы играть аллах,Проблемы с ПК и интернетом
310,267882524,https://otvet.mail.ru/question/267882524,Вопрос к парням!!!!,"Короче я девушка, мне нравится парень из университета, мы не общаемся. И он живёт в общаге, где и я. Суть в том, что мы ездим в университет с одной остановки, но он уже как неделю не ездит с этой остановки в университет, а садится раньше. Я не знаю, с какой остановки он садится. 
Вопрос: почему он стал садиться с другой остановки???? ",А сейчас что-то совсем другое
311,267882535,https://otvet.mail.ru/question/267882535, чилавек найти 2012 конец всего скоро не знаю когда помогите, чилавек найти 2012 конец всего скоро не знаю когда помогите,А сейчас что-то совсем другое
312,267882543,https://otvet.mail.ru/question/267882543,Рабочий впн сейчас?,Рабочий впн сейчас?,Ответы Mail
313,267882551,https://otvet.mail.ru/question/267882551,Я чувствую себя оскорбленной,"Меня назвали фанаткой молоточников,если честно,после данного высказывания я хочу вскр@@@@т@@ вены очень сильно.мне страшно.меня назвали фанатом молоточников,у меея серьезно слезы полли я хз .это врлде шутка,а мне реально очень обидно,просто потому что меня назваои фанаткой молоточников",Шутки за 500
314,267882556,https://otvet.mail.ru/question/267882556,Замена нала на цифру обеспечит полную зависимость чел от финансистов. К чему это может привести философию управления?,"16 И он сделает то, что всем, малым и великим, богатым и нищим, свободным и рабам, положено будет начертание на правую руку их или на чело их,
17 и что никому нельзя будет ни покупать, ни продавать, кроме того, кто имеет это начертание, или имя зверя, или число имени его
Бартер всегда с тобой,
 Бартер всегда живой!",Философский вопрос
315,267882567,https://otvet.mail.ru/question/267882567,ГТА 5 ЗАПУСКАЕТСЯ НО ТОЛЬКО В ДИСПЕТЧЕРЕ ЗАДАЧ(,"недавно пытался скачать себе пиратку гта5 но они все не запускались просто висели в диспетчере задач занимали где то 100мб оперативки и все. Сегодня купил лицензию в рокстар лаунчере, по итогу тоже самое..
помогите пожалуйста кто знает!!",GTA
316,267882570,https://otvet.mail.ru/question/267882570,Проблемы с велокомпьютером на электровелосипеде.,"Я приобрёл электровелосипед AVM Intro 500 с велокомпьютером G51. Его внешний вид можно увидеть на прикреплённом фото.
Однако у меня возникла проблема: при входе в настройки устройства требуется пароль, который я не знаю. В документации к велосипеду этот пароль не указан.
Может кто знает какой базовый пароль на данных устройствах, буду признателен за любую информацию.",Электроника и электротехника
317,267882576,https://otvet.mail.ru/question/267882576, кто на меня подписался але, кто на меня подписался але,А сейчас что-то совсем другое
318,267882582,https://otvet.mail.ru/question/267882582,Мерцает экран во время игры в Silent hill f,"https://www.youtube.com/watch?v=2GbYnFXG768
 - Silent hill f
Не знаю от чего это зависит, но чаще мерцает когда смотрю на воду, игра лицензия
pc:
rtx 4060
ryzen 5 7600
32 gb ram
monitor:
msi g2412f",Время игр
319,267882584,https://otvet.mail.ru/question/267882584,Почему парень так делает??((((,"Короче я девушка, мне нравится парень из университета, мы не общаемся. И он живёт в общаге, где и я. Суть в том, что мы ездим в университет с одной остановки, но он уже как неделю не ездит с этой остановки в университет, а садится раньше. Я не знаю, с какой остановки он садится.
Вопрос: почему он стал садиться с другой остановки????",А сейчас что-то совсем другое
320,267882590,https://otvet.mail.ru/question/267882590, какой то мудрец сказал........, какой то мудрец сказал........,А сейчас что-то совсем другое
321,267882596,https://otvet.mail.ru/question/267882596,Потеряла наушник реалме,"Я сегодня потеряла наушник Realme t310, подскажите можно ли как-то его отследить или найти, потеряла примерно где-то по пути от школы до дома (30 метров точно), я щас плакать буду",Электроника и электротехника
322,267882602,https://otvet.mail.ru/question/267882602,Батя бухой пришел,"Что делать опять батя бухой пришел, напился и доказывает что он прав? Как его успокоить?",Закон и порядок
323,267882610,https://otvet.mail.ru/question/267882610,Одобряете такое поведение в школе?,"вломись в школу и возомни себя директором, ругайся с учителями и говори что уволишь их, если они скажут идти к директору, скажешь что ты главнее директора и не обязан к нему идти, если она тебя начнёт выталкивать, пни её ногой, затем выйди из класса с довольным видом и иди жаловаться директору что тебя обижает и буллит учитель, если директор не поймёт, то пожалуйся в министерство образования. Заставляй учителей ставить тебе хорошие оценки иначе будет хаос",А сейчас что-то совсем другое
324,267882614,https://otvet.mail.ru/question/267882614,Нужно узнать название головного прибора,"есть такая шляпа, зелено черного цвета, выглядит вроде как панама но козырек как у кепки(твердый) и также вокруг конструкции, надо оч название",Стиль и фэшн
325,267882617,https://otvet.mail.ru/question/267882617,Помогите с текстур паком майнкрафт,"я его закинул в папку ресурспаков но он не появился, дальше открыв папку, попытался
перетащить оттуда в сам майн, высветилось окно с да\нет я нажал да, но текстур пак не появился чо делать?",Minecraft
326,267882622,https://otvet.mail.ru/question/267882622, как же тут все убого работает я не могу, как же тут все убого работает я не могу,А сейчас что-то совсем другое
327,267882624,https://otvet.mail.ru/question/267882624,Какая сборка пк в пределах 220к будет лучше? 5070 ti + ryzen 7 7800x3d или 5080 + ryzen 7 7700,"Вроде 5080 должна быть лучше, но она дороже и процессор слабоват наверное для нее",Собираем компьютеры
328,267882632,https://otvet.mail.ru/question/267882632, неужели с обновой сайта пропали все спамеры? а где наши любимые все😶, неужели с обновой сайта пропали все спамеры? а где наши любимые все😶,А сейчас что-то совсем другое
329,267882640,https://otvet.mail.ru/question/267882640,МК-677 влияние ,Можно ли вырасти если делать тренировки и пить мк677  мой рост 166 до каких я смогу вырасти если смогу ?,Трушный спорт
330,267882645,https://otvet.mail.ru/question/267882645,Наш цепляющий заголовок ,Наш цепляющий заголовок ,А сейчас что-то совсем другое
331,267882647,https://otvet.mail.ru/question/267882647,Поч у менч карма плохач за что,Але ,А сейчас что-то совсем другое
332,267882650,https://otvet.mail.ru/question/267882650,Почему буддистам траву можно курить а мусульманам нет?,Почему буддистам траву можно курить а мусульманам нет?,А сейчас что-то совсем другое
333,267882654,https://otvet.mail.ru/question/267882654,Ненавижу аниме это roвно для roвноедов cpал я на ваше аниме сами ешьте это rавно ну и deрьмо же для dayнов,Ненавижу аниме это roвно для roвноедов cpал я на ваше аниме сами ешьте это rавно ну и deрьмо же для dayнов,А сейчас что-то совсем другое
334,267882658,https://otvet.mail.ru/question/267882658,Подскажите молитву на хорошую отценку, ЗАВТРА КОНТРОЛЬНАЯ ПО ИСТОРИИ Я БОЮСЬ ОЧЕНЬ....,"Бог, вера, религия"
335,267882660,https://otvet.mail.ru/question/267882660,Прямоугольник геометрия 8 класс,Помогите найти угол a,Математика
336,267882663,https://otvet.mail.ru/question/267882663,"Смелая женщина, го песенки петь перепетые перестрелки с насмешками наездников?","Смелая женщина, го песенки петь перепетые перестрелки с насмешками наездников?",А сейчас что-то совсем другое
337,267882668,https://otvet.mail.ru/question/267882668,Я лесбиянка иои да,Мне очень понрввилась девочка с ответов мвйл р2 мне кажктся будто я сейыас ее вылижу она моя милая дквочка маленькая аниме тяночка,А сейчас что-то совсем другое
338,267882675,https://otvet.mail.ru/question/267882675,Спойлер на будущее эта война не закончится,"Трамп будет помогать зеле оружием и это будет длиться до истощения денег , оружие и людей, думаю к 2030 году эта закончится","Прошлое, будущее, судьба, новая жизнь"
339,267882678,https://otvet.mail.ru/question/267882678, все фанатки молоточников должны понести ту же судьбу что жертвы молоточников, все фанатки молоточников должны понести ту же судьбу что жертвы молоточников,А сейчас что-то совсем другое
340,267882689,https://otvet.mail.ru/question/267882689,"Рак простаты лечится что ли человек не вставал, щас не ходит, но садится стал горомнольную терапию принимает  ",Как долго это будет помогать?,А сейчас что-то совсем другое
341,267882693,https://otvet.mail.ru/question/267882693,Кто эта красивая девушка?? Она мне очень нравится,Кто эта красивая девушка?? Она мне очень нравится,А сейчас что-то совсем другое
342,267882698,https://otvet.mail.ru/question/267882698,Google Meet сейчас в России работает или нет?,Google Meet сейчас в России работает или нет?,Мир и его люди
343,267882699,https://otvet.mail.ru/question/267882699,Не могу удалить программу revo unistaller ,"Скачала программу для удаления файлов,а теперь не могу удалить саму программу, 
вылезает ошибка 0х80004005 неопознанная ошибка что делать? ",Просто установи
344,267882700,https://otvet.mail.ru/question/267882700,Какая куртка лучше? ,Чем отличаются дешевые куртки с синтепоном/полиэстром от дорогих? ,А сейчас что-то совсем другое
345,267882708,https://otvet.mail.ru/question/267882708,Помогите с проектом в рб,"Как сделать систему выбора маркеров, как в Find The Markers? Как минимум, нужно  чтобы мой GUI не отображалс дважды. и как сделать разные бейджи не сами бейджи  а их когда уже собрал ",А сейчас что-то совсем другое
346,267882713,https://otvet.mail.ru/question/267882713,Как доказать моему другу что он не еврей,"В Галахе указано: еврейство передается только по матери. У моего друга отец – еврей по нации, у него бабушка еврейка. Мать русская, но несмотряна это он считает себя евреем",Дружба на века
347,267882715,https://otvet.mail.ru/question/267882715,"Бабоньки , как вы отнесётесь к тому что класуха постоянно и непременно требует к себе",Именно отца вашего оболтуса?,Пикантно о любви
348,267882721,https://otvet.mail.ru/question/267882721,Спасите в тг нфт,не могу купить нфт за очень маленькую цену скажите пж что делать,Жизнь в России
349,267882724,https://otvet.mail.ru/question/267882724,Мне не нравится моё имя((,"Мне 14 лет, и меня зовут Елизавета, всю жизнь не люблю свое имя, мне кажется оно слишком длинное, неблагозвучное и вообще несуразное какое-то, всегда завидовала обычным и банальным именам типа Маша, Света, Лена и т.д, вообще мое любимое женское имя Анна, меня мама хотела так назвать в честь прабабушки, но назвала зачем-то Елизаветой 😔 Имя поменять я не смогу точно потому что папа на меня очень сильно обидится и вообще наверное перестанет разговаривать со мной((  ",А сейчас что-то совсем другое
