,Title,Cost,Author,Description,Skill
307,Medresi's Notes,5,Medresi Dran,The Journal of Medresi Dran,0
308,Merchant's Journal,5,,,0
309,Merilar's Journal,5,Merilar Rendas,The journal of Merilar Rendas,0
310,Midden Incident Report,5,,,0
311,Miner's Journal,5,Hadrir,,0
312,A Minor Maze,8,,A brief history of Labyrinthian,0
313,Minorne,5,Moric Sidrey,,0
314,The Mirror,50,Berdier Wreans,About a skilled fighter's showdown with his greatest enemy,1
315,Mixed Unit Tactics,5,Codus Callonus,A book about the strategies of the Khajiit during the Five Years War,0
316,The Monomyth,8,,A theological book containing the common creation myths,0
317,Mysterious Akavir,5,,Information about the continent Akavir,0
318,"Mystery of Talara, v 1",3,Mera Llykith,Part one of the story of Princess Talara,0
319,"Mystery of Talara, v 2",55,Mera Llykith,Part two of the story of Princess Talara,1
320,"Mystery of Talara, Part 4",60,Mera Llykith,Part four of the story of Princess Talara,1
321,"Mystery of Talara, v3",55,Mera Llykith,Part three of the story of Princess Talara,1
322,"Mystery of Talara, v5",11,Mera Llykith,Part five of the story of Princess Talara,0
323,Mythic Dawn Commentaries 1,25,Mankar Camoran,The first book read by initiates to the Mythic Dawn cult,0
324,Mythic Dawn Commentaries 2,25,Mankar Camoran,The second book read by initiates to the Mythic Dawn cult,0
325,Mythic Dawn Commentaries 3,25,Mankar Camoran,The third book read by initiates to the Mythic Dawn cult,0
326,Mythic Dawn Commentaries 4,25,Mankar Camoran,The fourth and final book read by initiates to the Mythic Dawn cult,0
327,Myths of Sheogorath,2,Mymophonus,Magical myths about the Madgod himself,0
328,N'Gasta! Kvata! Kvakis!,20,N'Gasta,An obscure text written in the language of the Sload by a necromancer,0
329,Nchunak's Fire and Faith,20,Nchunak,Nchunak's journey among the Dwemer and his attempts to understand the teachings of Kagrenac,0
330,Nepos's Journal,5,Nepos the Nose,The regretful musings of an elderly Forsworn agent,0
331,Nerevar at Red Mountain,30,the Tribunal Temple,A scholarly description of the events surrounding the Battle at Red Mountain and its aftermath,0
332,Nerevar Moon and Star,30,,An Imperial scholarly work on the legend of Indoril Nerevar,0
333,Night Falls on Sentinel,50,Boali,How a knight weeds out an enemy of the king,1
334,The Night Mother's Truth,25,Gaston Bellefort,A thesis on the Dark Brotherhood and its spiritual leader,0
335,Night of Tears,5,Dranor Seleth,An inquiry into the cause of the Night of Tears,0
336,Nightingales: Fact or Fiction?,3,Wilimina Roth,Dissertation discussing whether a mysterious group of thieves actually exists,0
337,The Nightingales Vol. 1,500,Gallus Desidenius,Volume 1 of the books that describe the Nightingales,0
338,The Nightingales Vol. 2,500,Gallus Desidenius,Volume 2 of the books that describe the Nightingales,0
339,The Nirnoot Missive,250,Sinderion,A description of the enigmatic plant called Nirnroot,0
340,Nords Arise!,4,Anonymous,Stormcloak's recruitment essay calling for rebellion against the Empire,0
341,Nords of Skyrim,6,Hrothmund Wolf-Heart,An essay professing the finer qualities of Nords,0
342,"Notes on Dimhollow Crypt, Vol. 3",11,Adalvald,,0
343,Notes On The Lunar Forge,55,,Observations about Lunar weapons,0
344,Notes on Yngol Barrow,5,,A scholar's transcription of ancient Nord writings in a Skyrim barrow,0
345,Nystrom's Journal,150,Nystrom,A bandit's journal on attempting to con their way into the Twilight Sepulcher,0
346,The Oblivion Crisis,6,"Praxis Sarcorum, Imperial Historian",A summary of the events stemming from the assassination of Emperor Uriel Septim VII,0
347,Ode To The Tundrastriders,8,Unknown,A poem dedicated to giants,0
348,Of Crossed Daggers,5,Dwennon Wyndell,The story of Riften's fall from grace,0
349,Of Fjori and Holgeir,6,,A tale of two star-crossed lovers in Skyrim,0
350,Oghma Infinium,2500,Xarxes,An ancient text containing the knowledge of Hermaeus Mora,0
351,Olaf and the Dragon,2,Adonato Leotelli,A historian ponders the legend of Olaf One-Eye and Numinex,0
352,Old Tome,5,,A poetic hint on how to open a hidden door,0
353,The Old Ways,30,Celarus the Loremaster,A guide to the Psijic Order and their beliefs,0
354,On Apocrypha: Boneless Limbs,100,,,0
355,On Apocrypha: Delving Pincers,100,,,0
356,On Apocrypha: Gnashing Blades,100,,,0
357,On Apocrypha: Prying Orbs,100,,,0
358,On Oblivion,10,Morian Zenas,A guide to Oblivion and the Daedra,0
359,On Stepping Lightly,12,Sigilis Justus,A warning on what to expect in the ruins of Skyrim,0
360,On the Great Collapse,12,Arch-Mage Deneth,A letter from the Arch-Mage of the College of Winterhold to the Jarl following the Great Collapse,0
361,Opusculus Lamae Bal,14,"Mabei Aywenil, Scribe",A brief account of Lamae Bal and the Restless Death,0
362,Orsinium and the Orcs,70,Menyna Gsost,The story of how Gortwog won the land to the north of Wayrest,1
363,"Palla, volume 1",3,Vojne Mierstyyd,A conjurer's tragic infatuation with a dead woman (volume 1 of 2),0
364,"Palla, volume 2",10,Vojne Mierstyyd,A conjurer's tragic infatuation with a dead woman (volume 2 of 2),0
365,Pension of the Ancestor Moth,8,,A Temple novice's initiatory pamphlet on the Cult of the Ancestor Moth,0
366,Physicalities of Werewolves,14,Reman Crex,A morbid anatomical study of werewolves on live subjects,0
367,The Pig Children,20,Tyston Bane,Discusses the history of the Orcish threat in the Iliac Bay,0
368,Pirate King of the Abecean,6,,An ode to the Pirate King,0
369,"The Poison Song, Book I",3,Bristin Xel,Part 1 of an epic set in the aftermath of the war with the Dwemer and House Dagoth,0
370,"The Poison Song, Book II",3,Bristin Xel,Part 2 of an epic set in the aftermath of the war with the Dwemer and House Dagoth,0
371,"The Poison Song, Book III",3,Bristin Xel,Part 3 of an epic set in the aftermath of the war with the Dwemer and House Dagoth,0
372,"The Poison Song, Book IV",3,Bristin Xel,Part 4 of an epic set in the aftermath of the war with the Dwemer and House Dagoth,0
373,"The Poison Song, Book V",3,Bristin Xel,Part 5 of an epic set in the aftermath of the war with the Dwemer and House Dagoth,0
374,"The Poison Song, Book VI",3,Bristin Xel,Part 6 of an epic set in the aftermath of the war with the Dwemer and House Dagoth,0
375,"The Poison Song, Book VII",3,Bristin Xel,Part 7 of an epic set in the aftermath of the war with the Dwemer and House Dagoth,0
376,The Posting of the Hunt,25,,A document announcing a ritualistic hunting of a mortal by Daedra,0
377,Power of the Elements,5,,,0
378,Proper Lock Design,75,Unknown,"Written as a manual for lock designers, unintentionally helpful to thieves",1
379,Purloined Shadows,60,Waughin Jarth,A chill tale recounting the theft of Nocturnal's cloak,1
380,Racial Phylogeny,55,"the Council of Healers, Imperial University",About the similarities and differences between the races of Tamriel,1
381,Raleth Eldri's Notes on Kagrumez,5,Raleth Eldri,,0
382,Ramati's Journal,5,Ramati,A journal detailing a Redguard family's purchase of the Frostflow Lighthouse leading up to their massacre by Falmer,0
383,The Ransom of Zarek,2,Marobar Sul,How a boy escapes his kidnappers,0
384,"The Real Barenziah, v1",5,Anonymous,"Unauthorized biography of the famous Queen Mother of Morrowind, Volume 1",0
385,"The Real Barenziah, v2",5,Anonymous,"Unauthorized biography of the famous Queen Mother of Morrowind, Volume 2",0
386,"The Real Barenziah, v3",5,Anonymous,"Unauthorized biography of the famous Queen Mother of Morrowind, Volume 3",0
387,"The Real Barenziah, v4",5,Anonymous,"Unauthorized biography of the famous Queen Mother of Morrowind, Volume 4",0
388,"The Real Barenziah, v5",5,Anonymous,"Unauthorized biography of the famous Queen Mother of Morrowind, Volume 5",0
389,Reality & Other Falsehoods,60,,Summary of the basic principles of Alteration magic,1
390,The Rear Guard,50,Tenace Mourl,How a lone man guards a besieged castle and how he obtains his food,1
391,The Reclamations,6,Thara of Rihad,An account of changes in the Dunmer religion following the end of the Tribunal,0
392,The Red Book of Riddles,30,,Small collection of riddles,0
393,Red Eagle's Rite,5,,A rite to raise the legendary Red Eagle from death,0
394,The Red Kitchen Reader,75,Simocles Quo,Autobiographical musings of how the Master of Cuisine came to adore viands,1
395,"The Red Year, Vol. I",6,Melis Ravel,Dunmer of Morrowind describe the Red Year,0
396,"The Red Year, Vol. II",6,Melis Ravel,Dunmer of Morrowind describe the Red Year,0
397,The Refugees,50,Geros Albreigh,History of refugees fleeing the Camoran Usurper,1
398,Remanada,20,,"Fragmented, mythical recounting of the conception of Reman and the return of the Chim-el Adabal with the people of Tamriel",0
399,Report: Disaster at Ionith,3,"Lord Pottreid, Chairman",An Imperial-scripted dispatch concerning Uriel V's invasion of Akavir,0
400,Research Log,5,First Adjunct Oronrel,,0
401,Research Notes,5,Sulla Trebatius,Research notes on the discovery of Dwarven Spider Automatons,0
402,Response to Bero's Speech,55,"Malviser, Battlemage","Commentaries of ""Bero's Speech to the Battlemages"" book",1
403,Riften Home Decorating Guide,5,,Details on accessory packages available for a Riften home,0
404,The Rise and Fall of the Blades,11,Anonymous,On the Blades' origins and their fate,0
405,"Rising Threat, Vol. I",6,Lathenil of Sunhold,Volume one in the series of books about Thalmor,0
406,"Rising Threat, Vol. II",6,Lathenil of Sunhold,Volume two in the series of books about Thalmor,0
407,"Rising Threat, Vol. III",6,Lathenil of Sunhold,Volume three in a series of books about the Thalmor,0
408,"Rising Threat, Vol. IV",6,Lathenil of Sunhold,Final volume in a series of books about the Thalmor,0
409,Rislav The Righteous,50,Sinjin,"Heroic tales of Rislav Larich, ancient King of Skingrad",1
410,Ruined Trailbook,5,,Travel log of an ill-fated group's accidental foray into Falmer territory,0
411,Ruins of Kemel-Ze,7,Rolard Nordssen,An archaeologist's adventure through ancient Dwemer ruins,0
412,Ruminations on the Elder Scrolls,30,Septimus Signus,A philosophical view on the role of the Elder Scrolls,0
413,Runil's Journal,5,Runil,The journal of a priest that portents the return of Dragons and the arrival of the Dovahkiin,0
414,Sacred Witness,75,Enric Milnes,Account of Enric's meeting with the Night Mother and career as an assassin,1
415,Saden's Journal,1,Saden,The journal of Saden,0
416,Saint Jiub's Opus,1250,Jiub,Saint Jiub the Eradicator of the Winged Menace recounts his rise to glory,0
417,Scourge of the Gray Quarter,8,Frilgeth Horse-Breaker,A complaint on the presence and behavior of the growing Dunmer population of Skyrim,0
418,The Secrets of Ragnvald,5,,A poem about Otar's corruption and the fate of two warriors sent to stop him,0
419,The Seed,10,Marobar Sul,Book 2 of an incomplete series of fictional stories about the Dwemer,0
420,Servos' Journal,5,Servos Rendas,The journal of Servos Rendas,0
421,Shadowmarks,30,Delvin Mallory,A list of symbols members of the Thieves Guild leave behind for each other,0
422,Shalidor's Insights,5,Shalidor,A disquisition on the origin and nature of Dragons,0
423,Shezarr and the Divines,11,Faustillus Junius,The relationship between the god Shezarr and the other Cyrodilic deities,0
424,Short History of Morrowind,15,Jeanette Sitte,Some excerpts from the book's introduction and its section on Vvardenfell,0
425,Sild's Journal,5,Sild the Warlock,Journal entries on how a warlock captures live test subjects with a pit fall trap,0
426,Sinderion's Field Journal,30,Sinderion,A detailed account of an alchemist's obsession with Nirnroot,0
427,Sithis,60,,Text detailing an apparent connection between Sithis and Lorkhan,1
428,Skorm Snow-Strider's Journal,5,Skorm Snow-Strider,The journal of a First Era Nordic commander and his encounter with the Dragon Cult,0
429,Skyrim's Rule,14,Abdul-Mujib Ababneh,A Redguard explains Skyrim's political system,0
430,Smuggler's Journal,5,,,0
431,Solitude Home Decorating Guide,5,,Details on accessory packages available for a Solitude home,0
432,Song Of Hrormir,50,,"The epic narrative of Hrormir, one-time champion of Nocturnal",1
433,Song of the Alchemists,55,Marobar Sul,Book 5 of an incomplete series of fictional stories about the Dwemer,1
434,Song of the Askelde Men,5,,A traditional Nordic poem about a ghost stalking those that killed him,0
435,"The Song of Pelinal, v1",5,,A description of the origins of Pelinal's name,0
436,"The Song of Pelinal, v2",5,,A history of Pelinal's origins,0
437,"The Song of Pelinal, v3",5,,"A description of Pelinal's mortal enemy, Umaril the Unfeathered",0
438,"The Song of Pelinal, v4",5,,A brief list of Pelinal's great deeds,0
439,"The Song of Pelinal, v5",5,,Notes about Pelinal's friendship with Morihaus,0
440,"The Song of Pelinal, v6",5,,Thoughts on Pelinal's madness,0
441,"The Song of Pelinal, v7",5,,"On Pelinal's battle with Umaril, and his dismemberment",0
442,"The Song of Pelinal, v8",5,,Pelinal's words at the deathbed of Alessia,0
443,Songs of Skyrim,10,"Giraud Gemaine, Historian of the Bards College, Solitude",A compilation of popular songs in Skyrim,0
444,Songs of Skyrim: Revised,14,"Giraud Gemaine, Historian of the Bards College, Solitude",A compilation of popular songs in Skyrim,0
445,"Songs of the Return, Vol 2",6,,Part of the traditional legend of Ysgramor and his Five Hundred Companions,0
446,"Songs of the Return, Vol 7",6,,Part of the traditional legend of Ysgramor and his Five Hundred Companions,0
447,"Songs of the Return, Vol 19",6,,Part of the traditional legend of Ysgramor and his Five Hundred Companions,0
448,"Songs of the Return, vol 24",30,,Part of the traditional legend of Ysgramor and his Five Hundred Companions,0
449,"Songs of the Return, Vol 56",6,,Part of the traditional legend of Ysgramor and his Five Hundred Companions,0
450,"Souls, Black and White",20,,A scholar's look at the souls of man and beast,0
451,Sovngarde: A Reexamination,12,Bereditte Jastal,"Speculation regarding Sovngarde, the Nordic Hall of Valor",0
452,Spider Experiment Notes,5,,,0
453,Spirit of Nirn,6,,Opinions of the god Lorkhan and the origin of creation,0
454,Spirit of the Daedra,25,,A look into the Daedric mindset,0
455,Staubin's Diary,5,Staubin,An account of an expedition into Nchuand-Zel,0
456,Stromm's Diary,5,Stromm,Research notes on an expedition into Nchuzand-Zel,0
457,Sudi's Journal,5,Sudi,A journal detailing the moments from Sudi moving into Frostflow Lighthouse until her family's massacre by Falmer,0
458,Sulla's Journal,5,Sulla Trebatius,A journal describing an ill fated excavation of Alftand,0
459,"The Sultry Argonian Bard, v1",14,Ellya Erdain,A short excerpt from Ellya Erdain's play,0
460,Surfeit of Thieves,75,Aniis Noru,How a busted robbery gets even worse,1
461,Suvaris Atheron's Logbook,5,Suvaris Atheron,,0
462,The Tale of Dro'Zira,11,Sonia Vette,A Khajiit father in the grips of moon-sugar gives his cub a history lesson,0
463,The Talos Mistake,7,Leonora Venatus,Propaganda encouraging acceptance of the ban on the worship of Talos,0
464,Tattered Journal,5,,,0
465,Tattered Journal,5,,,0
466,Thalmor Dossier: Delphine,5,,Thalmor Dossier on the Blades agent Delphine,0
467,Thalmor Dossier: Esbern,5,,Thalmor Dossier on the Blades Loremaster Esbern,0
468,Thalmor Dossier: Ulfric Stormcloak,5,,Thalmor dossier on the Stormcloak leader and Jarl of Windhelm Ulfric Stormcloak,0
469,There Be Dragons,11,Torhal Bjorik,A report on the nature of dragons,0
470,Thief,60,Reven,The second chapter of the adventures of Eslaf Erol,1
471,Thief of Virtue,5,,"A bawdy tale of one thief's quest for coin, and capture of a lady's virtue",0
472,The Third Door,11,Annanar Orme,"Tale of a heart-broken, vengeful, axe-wielding woman",0
473,The Third Era Timeline,8,Jaspus Ignateous,An accounting of the most significant events of the Third Era,0
474,"Thirsk, A Revised History",3,,"Chronicles the Nord mead hall of Thirsk circa 4E 201, focusing primarily on its chieftains",0
475,Thonar's Journal,5,Thonar Silver-Blood,Revelations that Thonar Silver-Blood is having secret dealings with the Forsworn,0
476,Three Thieves,75,Anonymous,Some thieves in Morrowind plan a heist,1
477,Tolfdir's Book,5,Asgrim Kolsgreg,"A biography of Galerion, a Psijic who founded the Mages Guild",0
478,The Totems of Hircine,30,,Werewolf tales regarding artifacts of Hircine,0
479,Touching the Sky,20,Parmion Saldor,Translated from Falmer Text by Calcelmo of Markarth,0
480,A Tragedy in Black,50,,The story of a youth summoning a Dremora,1
481,Trap,13,Anonymous,"A starving man steals money for food, but pays a high price for his action",0
482,Treatise on Ayleidic Cities,25,,The history of Varsa Baalim and Mehrunes' Razor,0
483,Trials of St. Alessia,5,,Excerpt from a greater work detailing the creation of the Amulet of Kings,0
484,Troll Slaying,8,Finn,"A guide to identifying, fighting, and collecting fat from trolls",0
485,The True Nature of Orcs,20,,Book detailing the Orsimer race and their origin,0
486,The True Noble's Code,7,Serjo Athyn Sarethi,Gives the guidelines to the members of the House Redoran,0
487,Twin Secrets,50,Brarilu Theran,A tale of an enchanter's path to discovering how to weave two enchantments onto one item,1
488,Ulfr's Book,5,,A blank book being read by a blind watchman,0
489,Ulyn's Journal,25,Ulyn,,0
490,Umana's Journal,5,Umana,A record of an ill-fated exploration of Dwemer ruins in Skyrim,0
491,Uncommon Taste,3,The Gourmet,A cook book containing recipes of a Breton origin,0
492,Uncommon Taste - Signed,30,The Gourmet,"A letter, containing recipes, from the Gourmet to Anton",0
493,"Unknown Book, Vol. I",20,ENGWE EMELOTH,,0
494,"Unknown Book, Vol. II",20,,,0
495,"Unknown Book, Vol. III",20,,,0
496,"Unknown Book, Vol. IV",20,PARMION SALDOR,,0
497,Unsent Afflicted Letter,5,,,0
498,Valerica's Journal,10,Valerica,Valerica's notes on attuning the portal vessel to the Soul Cairn,0
499,Varieties of Daedra,11,Aranea Drethan,"An analysis of Daedra forms, focusing primarily on the Dremora",0
500,Varieties of Faith in the Empire,13,Brother Mikhael Karkuxor of the Imperial College,An expansive list of the pantheons and associated divine spirits of Tamriel's dominant cultures,0
501,Venarus Vulpin's Journal,5,Venarus Vulpin,The journal of a vampire and his discovery of the Bloodspring of Lengeir's Feast,0
502,Venarus Vulpin's Research,5,Venarus Vulpin,Research notes on the Bloodspring of Lengeir's Feast,0
503,Vernaccus and Bourlor,"65 (Skill Book)
6 (Normal)",Tavi Dromio,How a short-tempered Daedra tries to make something of himself,1
504,Volk's Journal,5,Volk,,0
505,Wabbajack,7,,Story of one man's summoning of Sheogorath and descent into madness,0
506,"Walking the World, Vol XI",8,Spatior Munius,A comprehensive description of the city of Solitude,0
507,War of the First Council,25,Agrippa Fundilius,A brief account of a First Age religious conflict,0
508,Warrior,50,Reven,The third chapter of the adventures of Eslaf Erol,1
509,The Warrior's Charge,50,,An old poem of the Redguards that deals with the constellations,1
510,Watcher of Stones,8,"Gelyph Sig, Thane of Bjorin",Musings on the Guardian Stones of Skyrim,0
511,The Waters of Oblivion,30,,A work on the dangers of Daedra and Oblivion,0
512,Where were you when the Dragon Broke,13,Various,A brief description and multiple accounts of the Dragon Break,0
513,Whiterun Home Decorating Guide,5,,Details on accessory packages available for a Whiterun home,0
514,The Wild Elves,25,Kier-Jo Chorvak,"Brief description of the Ayleids, or Wild Elves",0
515,Wind and Sand,100,Afa-Saryat,"A treatise on the sands of the Alik'r Desert, and their relationship to magic",0
516,Windhelm Home Decorating Guide,5,,Details on accessory packages available for a Windhelm home,0
517,The Windhelm Letters,7,Reylia,A series of letters written in the Second Era from a woman in Windhelm to her husband in Solitude,0
518,The Wispmother,8,Mathias Etienne,Summation of legends regarding the Wispmothers,0
519,Withershins,55,Yaqut Tawashi,A humorous tale of a man's ailment and cure,1
520,"The Wolf Queen, v1",75,Waughin Jarth,"Life of Queen Potema, Book One",1
521,"The Wolf Queen, v2",4,Waughin Jarth,"Life of Queen Potema, Book Two",0
522,"The Wolf Queen, v3",4,Waughin Jarth,"Life of Queen Potema, Book Three",0
523,"The Wolf Queen, v4",4,Waughin Jarth,"Life of Queen Potema, Book Four",0
524,"The Wolf Queen, v5",4,Waughin Jarth,"Life of Queen Potema, Book Five",0
525,"The Wolf Queen, v6",30,Waughin Jarth,"Life of Queen Potema, Book Six",0
526,"The Wolf Queen, v7",4,Waughin Jarth,"Life of Queen Potema, Book Seven",0
527,"The Wolf Queen, v8",12,Waughin Jarth,"Life of Queen Potema, Book Eight",0
528,The Woodcutter's Wife,8,Mogen Son of Molag,"A story of mistrust, murder, and magic",0
529,Words and Philosophy,50,,An interview with a Bosmer master swordsman about her life,1
530,Words of Clan Mother Ahnissi,14,Clan Mother Ahnissi,How a Khajiit explains the origin of the world,0
531,Words of the Wind,5,,A volume of verse collected from Ashlander wise women,0
532,Wraith's Wedding Dowry,10,Voltha gra-Yamwort (translated by Apthorne),Story of how an Orc reclaims her wedding gift from thieves,0
533,Wyndelius's Journal,40,Wyndelius Gatharian,A journal documenting a treasure-hunter's descent into madness,0
534,Yellow Book of Riddles,3,,A series of riddles,0
535,Yngol and the Sea-Ghosts,5,,A tale of Ysgramor's first adventure in Tamriel,0
